text,label,label_name
"looks like my card payment was duplicated after all. i went to pay at the store earlier, got declined once, second time it works. app still stays pending for one of the payments. can you please remove one of them as it's wrong and clearly was declined?",63,transaction_charged_twice
"top up google pay, is it possible?",2,apple_pay_or_google_pay
why was my atm withdrawl declined,26,declined_cash_withdrawal
what is the estimated wait time on a us transfer into my account?,67,transfer_timing
i have to make more then a few disposable cards per day.,29,disposable_card_limits
how to access my virtual card,40,getting_virtual_card
what kind of fiat currencies are supported for holding and exchange?,36,fiat_currency_support
"could you refund my transaction, i paid it into the wrong account. i need to be able to pay it into the right account by tomorrow.",8,cancel_transfer
what is the maximum i can top up?,60,top_up_limits
you promised no fees but now i've got one. what the hell!?,15,card_payment_fee_charged
can i change or hold different currency?,36,fiat_currency_support
says that my top-up is incomplete?,47,pending_top_up
help me delete my account.  i am not satisfied with the service.,55,terminate_account
where do i go to top up with cash?,58,top_up_by_cash_or_cheque
there is a payment i don't recognise!,28,direct_debit_payment_not_recognised
from what countries can i use an account?,24,country_support
can i set it up to add money every few days automatically while i am traveling?,4,automatic_top_up
"i need to add a serious amount of cash to my card, how do i do that?",60,top_up_limits
somebody used my card without my knowledge!,22,compromised_card
is there a fee for swift transfer,56,top_up_by_bank_transfer_charge
my purchases from this morning still have pending payments.,45,pending_card_payment
when will the transaction post to my account?,48,pending_transfer
what is the time frame for european transfers?,67,transfer_timing
when can i expect my card?,12,card_delivery_estimate
how can i top up my card with another card?,54,supported_cards_and_currencies
can i select my card scheme or do you choose it for me?,73,visa_or_mastercard
my transaction has not been received. when are you going to process it?,66,transfer_not_received_by_recipient
please tell me how to edit my personal details.,30,edit_personal_details
where is an atm?,3,atm_support
what is the procedure of unblocking my pin?,49,pin_blocked
i was overcharged a pound.,34,extra_charge_on_statement
is there a way i can get my card expedited?,11,card_arrival
what should i do if i think there are unauthorized transactions?,22,compromised_card
i will need a new card because mine is almost expired.  how fast do i get a replacement and what is the cost?,9,card_about_to_expire
i think someone is using my card without my permission!,22,compromised_card
i had to pay a pound more than i anticipated!,34,extra_charge_on_statement
how long will my top-up be pending?,47,pending_top_up
i need to top up using a cheque,58,top_up_by_cash_or_cheque
why was i charged $1 in a transaction?,34,extra_charge_on_statement
"if i don't live in the uk, can i get a card?",24,country_support
i need to get visa and mastercard,73,visa_or_mastercard
is there such thing as an auto top-up option?,4,automatic_top_up
i don't recognize some transactions.  is someone else using it?,22,compromised_card
my wallet was just stolen and i see my account already has a withdrawal. can you please help me.,20,cash_withdrawal_not_recognised
i need to renew a card that's about to expire,9,card_about_to_expire
